你 ,nǐ,You (singular)
刻 ,kè,quarter (hour)
教室 ,jiàoshì,classroom
开始 ,kāishǐ,to begin
下午 ,xiàwǔ,afternoon
常常 ,chángcháng,frequently
晚上 ,wǎnshang,evening
有时候 ,yǒu shíhou,sometimes
电视 ,diànshì,television
上网;shàng wǎng,to go online; surf the internet
现在 ,xiànzài,now; at present
事 ,shì,matter
开 ,kāi,to open
门 ,mén,gate
关 ,guān,to close
明天 ,míngtiān,tomorrow
安排 ,ānpái,arrangement
上午 ,shàng wǔ,morning
朋友 ,péngyou,friend
见面 ,jiàn miàn,to meet
电影 ,diànyǐng,movie
再见 ,zàijiàn,goodbye
城市 ,chéngshì,city
公园 ,gōngyuán,park
那里 ,nàli,there
山 ,shān,mountain
水 ,shuǐ,water
树 ,shù,tree
花 ,huā,flower
风景 ,fēngjǐng,scenery
非常 ,fēicháng,very much
漂亮 ,piàoliang,pretty
空气 ,kōngqì,air
新鲜 ,xīnxiān,fresh
多 ,duō,many
爬山 ,pá shān,to climb a mountain
爬 ,pá,to climb
呼吸 ,hūxī,to breathe
忙 ,máng,busy
听说 ,tīngshuō,to hear (sth said)
出发 ,chūfā,to set off
找 ,zhǎo,to try to find
大家 ,dàjiā,everyone
累 ,lèi,tired
觉得 ,juéde,to think
休息 ,xiūxi,rest
一下 ,yīxià,(used after a verb) give it a go
小 ,xiǎo,small
茶馆 ,cháguǎn,teahouse
茶 ,chá,tea
喝 ,hē,to drink
一点儿 ,yīdiǎnr,a little
同屋 ,tóngwū,roommate
在 ,zài,(located) at
家 ,jiā,home
汽车 - qìchē,car; vehicle
公司 ,gōngsī,(business) company
工作 ,gōngzuò,to work
从 ... 到 ... ,cóng ...;dào ...,from ...to ...
上班 ,shàng bān,to go to work
周末 ,zhōumò,weekend
平时 ,píngshí,normal times
学校 ,xuéxiào,school
食堂 ,shítáng,dining hall
...的时候 - ...;de;shíhou,when;while
时候 ,shíhou,time
做饭 - zuò fàn,to prepare a meal
菜 ,cài,dish (type of food)
聊天儿 ,liáo tiānr,chat
晚饭 ,wǎnfàn,evening meal
手机 ,shǒujī,cell phone
号码 ,hào mǎ,number
不用 ,bùyòng,need not
用 ,yòng,need (mostly used in the negative)
干 ,gàn,to work
宿舍 ,sùshè,dormitory
画 ,huà,to draw
画儿 ,huàr,picture; drawing
喜欢 ,xǐhuan,to like
中国画 ,Zhōngguóhuà,Chinese painting
一般 ,yībān,same; usual
听 ,tīng,to listen
音乐 ,yīnyuè,music
东西 ,dōngxi,thing
一块儿 ,yīkuàir,together
收拾 ,shōushi,to put in order
房间 ,fángjiān,room
学期 ,xuéqī,term
门 ,mén,classifier for lessons; subjects; branches of technology
兴趣 ,xìngqù,interest
课 ,kè,subject
对 ,duì,regarding
书法 ,shūfǎ,calligraphy
太极拳 ,tàijíquán,shadowboxing;
感兴趣 ,gǎn xìngqù,to be interested
可是 ,kěshì,but
一样 ,yīyàng,same
选 ,xuǎn,to choose
还是 ,háishì,or
下 ,xià,next
运动 ,yùndòng,to move;;to exercise
跑步 ,pǎo bù,to run
身体 ,shēntǐ,the body; health
爱好 ,àihào,hobby
踢 ,tī,to kick;;to play (e.g. soccer)
足球 ,zúqiú,soccer
打 ,dǎ,play (a game)
篮球 ,lánqiú,basketball
最 ,zuì,most
骑 ,qí,to ride (an animal or bike)
自行车 ,zìxíngchē,bicycle
报名 ,bào míng,to sign up
咖啡 ,kāfēi,coffee
位 ,wèi,classifier for people (honorific)
红茶 ,hóngchá,black tea
绿茶 ,lǜchá,green tea
杯 ,bēi,cup
没错儿 - méi;cuòr,right
