<div>shadowboxing&nbsp;</div>	太极拳 -&nbsp;tàijíquán
太极拳 -&nbsp;tàijíquán	shadowboxing&nbsp;
<div>to be interested</div>	感兴趣 -&nbsp;gǎn xìngqù
感兴趣 -&nbsp;gǎn xìngqù	to be interested
<div>but</div>	可是 -&nbsp;kěshì
可是 -&nbsp;kěshì	but
<div>same</div>	一样 -&nbsp;yīyàng
一样 -&nbsp;yīyàng	same
<div>to choose</div>	选 -&nbsp;xuǎn
选 -&nbsp;xuǎn	to choose
<div>or</div>	还是 -&nbsp;háishì
还是 -&nbsp;háishì	or
<div>next</div>	下 -&nbsp;xià
下 -&nbsp;xià	next
<div>to move,&nbsp;to exercise</div>	运动 -&nbsp;yùndòng
运动 -&nbsp;yùndòng	to move,&nbsp;to exercise
<div>to run</div>	跑步 -&nbsp;pǎo bù
跑步 -&nbsp;pǎo bù	to run
<div>the body, health</div>	身体 -&nbsp;shēntǐ
身体 -&nbsp;shēntǐ	the body, health
<div>hobby</div>	爱好 -&nbsp;àihào
爱好 -&nbsp;àihào	hobby
<div>to kick,&nbsp;to play (e.g. soccer)</div>	踢 -&nbsp;tī
踢 -&nbsp;tī	to kick,&nbsp;to play (e.g. soccer)
<div>soccer</div>	足球 -&nbsp;zúqiú
足球 -&nbsp;zúqiú	soccer
<div>play (a game)</div>	打 -&nbsp;dǎ
打 -&nbsp;dǎ	play (a game)
<div>basketball</div>	篮球 -&nbsp;lánqiú
篮球 -&nbsp;lánqiú	basketball
<div>most</div>	最 -&nbsp;zuì
最 -&nbsp;zuì	most
<div>to ride (an animal or bike)</div>	骑 -&nbsp;qí
骑 -&nbsp;qí	to ride (an animal or bike)
<div>bicycle</div>	自行车 -&nbsp;zìxíngchē
自行车 -&nbsp;zìxíngchē	bicycle
<div>to sign up</div>	报名 -&nbsp;bào míng
报名 -&nbsp;bào míng	to sign up
<div>coffee</div>	咖啡 -&nbsp;kāfēi
咖啡 -&nbsp;kāfēi	coffee
<div>classifier for people (honorific)</div>	位 -&nbsp;wèi
位 -&nbsp;wèi	classifier for people (honorific)
<div>black tea</div>	红茶 -&nbsp;hóngchá
红茶 -&nbsp;hóngchá	black tea
<div>green tea</div>	绿茶 -&nbsp;lǜchá
绿茶 -&nbsp;lǜchá	green tea
<div>cup</div>	杯 -&nbsp;bēi
杯 -&nbsp;bēi	cup
<div>right</div>	没错儿 - méi&nbsp;cuòr
没错儿 - méi&nbsp;cuòr	right
