口 -&nbsp;kǒu	A measure word (family members)
<div>Father, dad</div>	爸爸 -&nbsp;bàba
爸爸 -&nbsp;bàba	Father, dad
<div>Mother, mom</div>	妈妈 -&nbsp;māma
妈妈 -&nbsp;māma	Mother, mom
<div>Older brother</div>	哥哥 -&nbsp;gēge
哥哥 -&nbsp;gēge	Older brother
<div>And</div>	和 -&nbsp;hé
和 -&nbsp;hé	And
<div>Office worker, staff member</div>	职员 -&nbsp;zhíyuán
职员 -&nbsp;zhíyuán	Office worker, staff member
<div>All, both</div>	都 -&nbsp;dōu
都 -&nbsp;dōu	All, both
<div>College or university student</div>	大学生 -&nbsp;dàxuéshēng
大学生 -&nbsp;dàxuéshēng	College or university student
<div>How many</div>	几 -&nbsp;jǐ
几 -&nbsp;jǐ	How many
<div>Do, engage in</div>	做 -&nbsp;zuò
做 -&nbsp;zuò	Do, engage in
<div>Job, work, task</div>	工作 -&nbsp;gōngzuò
工作 -&nbsp;gōngzuò	Job, work, task
<div>Lawyer, attorney</div>	律师 -&nbsp;lǜshī
律师 -&nbsp;lǜshī	Lawyer, attorney
<div>Doctor, medical practitioner</div>	医生 -&nbsp;yīshēng
医生 -&nbsp;yīshēng	Doctor, medical practitioner
<div>You (plural)</div>	你们 -&nbsp;nǐmen
你们 -&nbsp;nǐmen	You (plural)
<div>Team,&nbsp;class, group</div>	班 -&nbsp;bān
班 -&nbsp;bān	Team,&nbsp;class, group
<div>How much,&nbsp;how many</div>	多少 -&nbsp;duōshao
多少 -&nbsp;duōshao	How much,&nbsp;how many
<div>Used before nouns without a special classifier of their own</div>	个 -&nbsp;gè
个 -&nbsp;gè	Used before nouns without a special classifier of their own
<div>Student</div>	学生 -&nbsp;xuésheng
学生 -&nbsp;xuésheng	Student
<div>We,&nbsp;us</div>	我们 -&nbsp;wǒmen
我们 -&nbsp;wǒmen	We,&nbsp;us
<div>Two</div>	两 -&nbsp;liǎng
两 -&nbsp;liǎng	Two
<div>Older sister</div>	姐姐 -&nbsp;jiějie
姐姐 -&nbsp;jiějie	Older sister
<div>Younger sister</div>	妹妹 -&nbsp;mèimei
妹妹 -&nbsp;mèimei	Younger sister
<div>Younger brother</div>	弟弟 -&nbsp;dìdi
弟弟 -&nbsp;dìdi	Younger brother
<div>Worker, labourer</div>	工人 -&nbsp;gōngrén
工人 -&nbsp;gōngrén	Worker, labourer
<div>Peasant,&nbsp;farmer</div>	农民 -&nbsp;nóngmín
农民 -&nbsp;nóngmín	Peasant,&nbsp;farmer
<div>Nurse</div>	护士 -&nbsp;hùshi
护士 -&nbsp;hùshi	Nurse
<div>Police,&nbsp;police officer</div>	警察 -&nbsp;jǐngchá
警察 -&nbsp;jǐngchá	Police,&nbsp;police officer
<div>Want to, would like to, be going to</div>	想 -&nbsp;xiǎng
想 -&nbsp;xiǎng	Want to, would like to, be going to
<div>Buy, purchase</div>	买 -&nbsp;mǎi
买 -&nbsp;mǎi	Buy, purchase
<div>Electronic dictionary</div>	电子词典 -&nbsp;diànzǐ&nbsp;cídiǎn
电子词典 -&nbsp;diànzǐ&nbsp;cídiǎn	Electronic dictionary
<div>Electronic</div>	电子 -&nbsp;diànzǐ
电子 -&nbsp;diànzǐ	Electronic
<div>Dictionary</div>	词典 -&nbsp;cídiǎn
词典 -&nbsp;cídiǎn	Dictionary
<div>Computer</div>	电脑 -&nbsp;diànnǎo
电脑 -&nbsp;diànnǎo	Computer
